device_hardware_key,device_name_detailed,device_name,device_type_generic,device_screen_type,device_platform_type
,,Unidentified Devices,MOB,small,OTT
MIBOX4,MIBOX4,Android TV,WEB,small,OTT
ODROIDC2,ODROIDC2,Android TV,WEB,small,OTT
TPM171E,TPM171E,Android TV,WEB,small,OTT
ohm,ohm,Unidentified Devices,STB,big,STB
MiTV-MSSP3,MiTV-MSSP3,Android TV,WEB,small,OTT
NULL,NULL,Apple TV,ATV,big,OTT
S70CDS,S70CDS,Android TV,WEB,small,OTT
MiTV-MSSP2,MiTV-MSSP2,Android TV,WEB,small,OTT
Philips FHD Android TV,Philips FHD Android TV,Android TV,WEB,small,OTT
Allente 1,Allente 1,Other Operator Android TV box,WEB,small,OTT
,,Telia STB,STB,big,STB
QM153E,QM153E,Android TV,WEB,small,OTT
RealtekATV,RealtekATV,Android TV,WEB,small,OTT
linux_desktop,linux_desktop,Computer (Other),WEB,small,OTT
atvX,atvX,Android TV,WEB,small,OTT
JBL LINK BAR,JBL LINK BAR,Android TV,WEB,small,OTT
Freebox Player Mini,Freebox Player Mini,Android TV,WEB,small,OTT
undefined,undefined,Unidentified Devices,WEB,small,OTT
SMART TV,SMART TV,Android TV,WEB,small,OTT
PPX620,PPX620,Android TV,WEB,small,OTT
Projector,Projector,Projector,WEB,small,OTT
AQUOS-TVE19C,AQUOS-TVE19C,Android TV,WEB,small,OTT
iphone,iphone,Mobile phone (Iphone),WEB,small,OTT
Chromecast,Chromecast,Chromecast,CCR,big,OTT
Raspberry Pi 4,Raspberry Pi 4,Android TV,WEB,small,OTT
BRAVIA 4K UR1,BRAVIA 4K UR1,Android TV,WEB,small,OTT
XK03H,XK03H,Android TV,WEB,small,OTT
AQUOS-TVE21C,AQUOS-TVE21C,Android TV,WEB,small,OTT
Qilive UHD Android TV,Qilive UHD Android TV,Android TV,WEB,small,OTT
BRAVIA 8K UR3,BRAVIA 8K UR3,Android TV,WEB,small,OTT
stb,stb,Telia STB,STB,big,STB
SmartTV,SmartTV,Android TV,WEB,small,OTT
ipad,ipad,Tablet (Ipad),TAB,small,OTT
windows_desktop,windows_desktop,Computer (Windows),WEB,small,OTT
AQUOS_TVE19A,AQUOS_TVE19A,Android TV,WEB,small,OTT
